Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year ,Assam,73814,56708,2051.4,7024878.38,22882.34,0.796086957
Arhar/Tur,1997,Kharif     ,Assam,6637,4685,2051.4,631643.29,2057.47,0.710434783
Castor seed,1997,Kharif     ,Assam,796,22,2051.4,75755.32,246.76,0.238333333
Coconut ,1997,Whole Year ,Assam,19656,126905000,2051.4,1870661.52,6093.36,5238.051739
Cotton(lint),1997,Kharif     ,Assam,1739,794,2051.4,165500.63,539.09,0.420909091
Dry chillies,1997,Whole Year ,Assam,13587,9073,2051.4,1293074.79,4211.97,0.643636364
Gram,1997,Rabi       ,Assam,2979,1507,2051.4,283511.43,923.49,0.465454545
Jute,1997,Kharif     ,Assam,94520,904095,2051.4,8995468.4,29301.2,9.919565217
Linseed,1997,Rabi       ,Assam,10098,5158,2051.4,961026.66,3130.38,0.461363636
Maize,1997,Kharif     ,Assam,19216,14721,2051.4,1828786.72,5956.96,0.615652174
Mesta,1997,Kharif     ,Assam,5915,29003,2051.4,562930.55,1833.65,4.568947368
Niger seed,1997,Whole Year ,Assam,9914,5076,2051.4,943515.38,3073.34,0.482352941
Onion,1997,Whole Year ,Assam,7832,17943,2051.4,745371.44,2427.92,2.342608696
Other  Rabi pulses,1997,Rabi       ,Assam,108297,58272,2051.4,10306625.49,33572.07,0.520869565
Potato,1997,Whole Year ,Assam,75259,671871,2051.4,7162399.03,23330.29,7.561304348
Rapeseed &Mustard,1997,Rabi       ,Assam,279292,154772,2051.4,26580219.64,86580.52,0.554782609
Rice,1997,Autumn     ,Assam,607358,398311,2051.4,57802260.86,188280.98,0.780869565
Rice,1997,Summer     ,Assam,174974,209623,2051.4,16652275.58,54241.94,1.060434783
Rice,1997,Winter     ,Assam,1743321,1647296,2051.4,165911859.6,540429.51,0.941304348
Sesamum,1997,Whole Year ,Assam,15765,8257,2051.4,1500355.05,4887.15,0.487391304
Small millets,1997,Kharif     ,Assam,10490,5391,2051.4,998333.3,3251.9,0.473
Sugarcane,1997,Kharif     ,Assam,31318,1287451,2051.4,2980534.06,9708.58,41.89695652
Sweet potato,1997,Whole Year ,Assam,9380,32618,2051.4,892694.6,2907.8,3.440434783
Tapioca,1997,Whole Year ,Assam,2465,11728,2051.4,234594.05,764.15,4.41826087
Tobacco,1997,Whole Year ,Assam,433,26,2051.4,41208.61,134.23,0.38
Turmeric,1997,Whole Year ,Assam,10071,6974,2051.4,958457.07,3122.01,0.67
Wheat,1997,Rabi       ,Assam,84698,110054,2051.4,8060708.66,26256.38,1.25952381
Arecanut,1997,Whole Year ,Karnataka,93100,133342,1266.7,8860327,28861,1.293571429
Arhar/Tur,1997,Kharif     ,Karnataka,421810,98473,1266.7,40143657.7,130761.1,0.268235294
Bajra,1997,Kharif     ,Karnataka,301149,132056,1266.7,28660350.33,93356.19,0.404545455
Bajra,1997,Summer     ,Karnataka,820,662,1266.7,78039.4,254.2,0.81
Black pepper,1997,Kharif     ,Karnataka,3825,924,1266.7,364025.25,1185.75,0.4375
Cardamom,1997,Whole Year ,Karnataka,21230,1214,1266.7,2020459.1,6581.3,0.058571429
Coriander,1997,Whole Year ,Karnataka,17317,2853,1266.7,1648058.89,5368.27,0.121333333
Dry chillies,1997,Kharif     ,Karnataka,186579,139206,1266.7,17756723.43,57839.49,1.078333333
Dry chillies,1997,Rabi       ,Karnataka,4565,7895,1266.7,434451.05,1415.15,1.869444444
Garlic,1997,Whole Year ,Karnataka,5061,3799,1266.7,481655.37,1568.91,1.585
Ginger,1997,Kharif     ,Karnataka,3619,4745,1266.7,344420.23,1121.89,1.262307692
Groundnut,1997,Kharif     ,Karnataka,847666,525562,1266.7,80672373.22,262776.46,0.709411765
Groundnut,1997,Rabi       ,Karnataka,192416,181071,1266.7,18312230.72,59648.96,1.133333333
Horse-gram,1997,Kharif     ,Karnataka,178872,80124,1266.7,17023248.24,55450.32,0.45
Horse-gram,1997,Rabi       ,Karnataka,163173,82572,1266.7,15529174.41,50583.63,0.514705882
Jowar,1997,Kharif     ,Karnataka,389690,516093,1266.7,37086797.3,120803.9,1.228
Jowar,1997,Rabi       ,Karnataka,1501172,722773,1266.7,142866539.2,465363.32,0.510714286
Jowar,1997,Summer     ,Karnataka,6137,15135,1266.7,584058.29,1902.47,2.470909091
Maize,1997,Kharif     ,Karnataka,502797,1391132,1266.7,47851190.49,155867.07,2.687777778
